"id","ch"
913,"0000000100000"
914,"0000000100000"
917,"0000000100000"
920,"0000000100000"
921,"0000000100000"
923,"0000000100000"
924,"0000000100001"
925,"0000000110000"
929,"0000000100000"
931,"0000000100000"
932,"0000000100000"
933,"0000000100000"
934,"0000000100000"
938,"0000000100000"
940,"0000000100000"
941,"0000000100000"
942,"0000000100000"
945,"0000000100000"
946,"0000000100000"
947,"0000000100000"
948,"0000000100000"
950,"0000000100000"
951,"0000000100000"
952,"0000000110000"
955,"0000000100000"
956,"0000000100000"
957,"0000000100000"
1001,"0000000010000"
1002,"0000000010000"
1003,"0000000010000"
1004,"0000000010000"
1005,"0000000010000"
1006,"0000000010000"
1007,"0000000010000"
1008,"0000000010000"
1009,"0000000010000"
1010,"0000000010000"
1011,"0000000010000"
1012,"0000000010000"
1015,"0000000010000"
1016,"0000000010000"
1017,"0000000010000"
1018,"0000000010000"
1022,"0000000010000"
1023,"0000000010000"
1024,"0000000010000"
1025,"0000000010000"
1026,"0000000010000"
1027,"0000000010000"
1028,"0000000010000"
1029,"0000000010000"
1030,"0000000010010"
1032,"0000000010000"
1033,"0000000010000"
1036,"0000000010000"
1037,"0000000010000"
1039,"0000000010000"
1042,"0000000010000"
1043,"0000000010000"
1044,"0000000010000"
1045,"0000000010000"
1047,"0000000010000"
1048,"0000000010000"
1049,"0000000010000"
1051,"0000000010000"
1052,"0000000010000"
1053,"0000000010000"
1055,"0000000010000"
1056,"0000000010000"
1060,"0000000010000"
1065,"0000000010000"
1066,"0000000010000"
1069,"0000000010000"
1074,"0000000010000"
1076,"0000000010000"
1077,"0000000010001"
1079,"0000000010000"
1080,"0000000010000"
1081,"0000000010000"
1084,"0000000010000"
1085,"0000000010000"
1086,"0000000010000"
1087,"0000000010000"
1089,"0000000010000"
1090,"0000000010000"
1092,"0000000010000"
1093,"0000000010000"
1094,"0000000010100"
1099,"0000000010000"
1100,"0000000010000"
1101,"0000000010000"
1103,"0000000010000"
1107,"0000000010000"
1111,"0000000010000"
1112,"0000000010000"
1113,"0000000010000"
1114,"0000000010000"
1115,"0000000010000"
1116,"0000000010000"
1117,"0000000010000"
1120,"0000000010000"
1121,"0000000010000"
1122,"0000000010000"
1123,"0000000010000"
1126,"0000000011000"
1127,"0000000010000"
1129,"0000000010000"
1130,"0000000011000"
1131,"0000000010000"
1132,"0000000010000"
1137,"0000000010100"
1139,"0000000010000"
1140,"0000000010000"
1141,"0000000010000"
1142,"0000000010000"
1143,"0000000010000"
1144,"0000000010000"
1146,"0000000010000"
1148,"0000000010000"
1150,"0000000010000"
1151,"0000000010000"
1152,"0000000010000"
1153,"0000000010000"
1154,"0000000010000"
1155,"0000000010000"
1156,"0000000011000"
1157,"0000000010000"
1158,"0000000010000"
1159,"0000000010000"
1160,"0000000010000"
1162,"0000000010000"
1165,"0000000010100"
1167,"0000000010000"
1168,"0000000010000"
1169,"0000000010000"
1173,"0000000010000"
1176,"0000000010000"
1177,"0000000010000"
1178,"0000000010000"
1180,"0000000010000"
1181,"0000000010110"
1182,"0000000010010"
1183,"0000000010000"
1184,"0000000010000"
1185,"0000000011100"
1187,"0000000010000"
1188,"0000000010000"
1189,"0000000010000"
1190,"0000000010000"
1191,"0000000010000"
1192,"0000000010000"
1193,"0000000010000"
1194,"0000000010000"
1195,"0000000010000"
1196,"0000000011000"
1197,"0000000011001"
1199,"0000000010000"
1200,"0000000010000"
1202,"0000000010000"
1203,"0000000010000"
1204,"0000000010000"
1211,"0000000010000"
1213,"0000000010000"
1214,"0000000010000"
1215,"0000000010001"
1226,"0000000011000"
1227,"0000000010000"
1228,"0000000011000"
1229,"0000000010111"
1230,"0000000010100"
1231,"0000000010000"
1232,"0000000010000"
1233,"0000000000100"
1234,"0000000010000"
1235,"0000000010000"
1236,"0000000010000"
1237,"0000000010000"
1238,"0000000010000"
1300,"0000000001010"
1301,"0000000001000"
1302,"0000000001000"
1303,"0000000001000"
1304,"0000000001000"
1305,"0000000001000"
1306,"0000000001000"
1307,"0000000001000"
1308,"0000000001000"
1309,"0000000001000"
1310,"0000000001000"
1311,"0000000001000"
1312,"0000000001000"
1314,"0000000001000"
1316,"0000000001000"
1317,"0000000001000"
1318,"0000000001000"
